SrNo,NameofCompany,Package,Count,Employer Name,Designation,Phone No,Email,Website,Address
1,Birla Soft,3.6,13,,,,,,
2,Bluepineapple,3.6,2,,,,,,
3,Capgemini,3.8,14,,,,,,
4,CasePoint,1.8,1,,,,,,
5,Finiq,7,10,,,,,,
6,TCS Digital,7.5,4,,,,,,
7,Aress Software,3.25,5,,,,,,
8,Amdocs,4.2,7,,,,,,
9,Hexaware,3.5,1,,,,,,
10,InfitiQ,3.5,1,,,,,,
11,Jio Platforms,3.5,1,,,,,,
12,Josh Software,7,4,,,,,,
13,TCS Ninja,3.3,18,,,,,,
14,Perennial Systems,4.2,2,,,,,,
15,Persistant Systems,4.51,10,,,,,,
16,TCS Codvita,3.5,1,,,,,,
17,Teitto Evry,4.5,2,,,,,,
18,TIAA ,6.5,7,,,,,,
19,Winjit Technologies ,2.65,2,,,,,,
20,Webtech Developers,3.25,1,,,,,,
21,Eternus,3.6,3,,,,,,
22,Yotta,3.5,2,,,,,,
23,EQ Technologies,6.5,1,,,,,,
24,Lentra,3.5,2,,,,,,
25,FACE,6.5,1,,,,,,
26,Accenture,4.5,5,,,,,,
27,Cognizant,3.6,6,,,,,,
28,Crompton Greaves ,1.8,1,,,,,,
29,Extentia ,3,1,,,,,,
30,Infosys,3.6,8,,,,,,
31,Mindtree,4,2,,,,,,
32,NCDEX ,4.2,2,,,,,,
33,Vistaar Systems,3.3,1,,,,,,
